epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4863.59,1.31678,1.05354,1.30591,0.77534,0.70878,0.7797,0.47088,1.36915,1.00767,1.33197,0.002377,0.002377,0.002377
79,4924.39,1.29564,1.04955,1.30246,0.795,0.69892,0.79092,0.48056,1.37524,0.96056,1.31657,0.002278,0.002278,0.002278
80,4984.97,1.30886,1.04298,1.30806,0.77664,0.70725,0.7875,0.47302,1.38524,0.96826,1.33505,0.002179,0.002179,0.002179
81,5047.55,1.30277,1.04354,1.30658,0.77992,0.70811,0.78726,0.48568,1.33376,0.96109,1.31651,0.00208,0.00208,0.00208
82,5109.14,1.29643,1.01786,1.2989,0.81587,0.70277,0.79174,0.48848,1.33766,0.95935,1.30346,0.001981,0.001981,0.001981
83,5169.77,1.30478,1.02328,1.29721,0.78501,0.72312,0.79649,0.48354,1.36657,0.95447,1.33211,0.001882,0.001882,0.001882
84,5230.84,1.28482,1.01746,1.28933,0.80209,0.7118,0.79457,0.48464,1.35196,0.98093,1.31671,0.001783,0.001783,0.001783
85,5290.98,1.28753,1.02741,1.29279,0.79414,0.72043,0.79856,0.48879,1.36598,0.92964,1.32304,0.001684,0.001684,0.001684
86,5353.44,1.28448,0.99608,1.29364,0.79697,0.72105,0.79916,0.49451,1.33378,0.94325,1.30721,0.001585,0.001585,0.001585
87,5417.43,1.27544,1.02321,1.28248,0.77355,0.7267,0.79655,0.48993,1.35113,0.95227,1.31126,0.001486,0.001486,0.001486
88,5478.28,1.28108,1.01322,1.28813,0.79699,0.70968,0.80097,0.49634,1.32778,0.95193,1.30839,0.001387,0.001387,0.001387
89,5539.1,1.27348,1.00225,1.28925,0.79134,0.72042,0.79417,0.48485,1.35218,0.95035,1.31771,0.001288,0.001288,0.001288
90,5600.24,1.27457,0.99014,1.27919,0.78579,0.72971,0.80093,0.49451,1.33693,0.93733,1.30168,0.001189,0.001189,0.001189
91,5659.75,1.17401,0.88881,1.2223,0.80781,0.70052,0.7933,0.48104,1.3894,0.96946,1.3316,0.00109,0.00109,0.00109
92,5715.48,1.15224,0.81372,1.20796,0.78644,0.72849,0.79916,0.5002,1.33493,0.9272,1.30706,0.000991,0.000991,0.000991
93,5768.35,1.14057,0.80239,1.19961,0.77239,0.72675,0.79087,0.48831,1.3533,0.94462,1.31644,0.000892,0.000892,0.000892
94,5823.38,1.13112,0.79216,1.19269,0.774,0.74194,0.80206,0.50273,1.30475,0.92508,1.29689,0.000793,0.000793,0.000793
95,5880.12,1.12995,0.79291,1.19771,0.79612,0.73297,0.80394,0.49665,1.33821,0.92411,1.30503,0.000694,0.000694,0.000694
96,5938.02,1.1212,0.78355,1.18989,0.78639,0.73835,0.80272,0.50145,1.33037,0.91745,1.31013,0.000595,0.000595,0.000595
97,5995.69,1.11734,0.7785,1.19362,0.78806,0.7491,0.80153,0.49556,1.33062,0.91878,1.30736,0.000496,0.000496,0.000496
98,6052.93,1.11417,0.77854,1.18744,0.79683,0.73656,0.80407,0.4996,1.34072,0.90611,1.31173,0.000397,0.000397,0.000397
99,6109.69,1.11127,0.76946,1.19164,0.80408,0.72581,0.80814,0.50086,1.33795,0.90569,1.3073,0.000298,0.000298,0.000298
100,6166.26,1.1112,0.76665,1.18541,0.81155,0.71774,0.80524,0.50293,1.32422,0.90605,1.30264,0.000199,0.000199,0.000199
