epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1453.78,1.136,0.79495,1.17944,0.788,0.74273,0.8041,0.50331,1.31591,0.89894,1.28934,0.00131566,0.00131566,0.00131566
108,1467.07,1.12845,0.78825,1.16743,0.78523,0.73925,0.79747,0.50164,1.31978,0.88946,1.29861,0.0012735,0.0012735,0.0012735
109,1480.46,1.13495,0.78757,1.17308,0.79312,0.73387,0.80767,0.50873,1.31096,0.88826,1.28426,0.00123182,0.00123182,0.00123182
110,1494.12,1.13994,0.78289,1.17281,0.77679,0.75153,0.80327,0.50742,1.30557,0.88176,1.28742,0.00119063,0.00119063,0.00119063
111,1507.99,1.13159,0.78389,1.17149,0.79718,0.74642,0.80322,0.51078,1.3055,0.87498,1.29357,0.00114996,0.00114996,0.00114996
112,1522.04,1.11783,0.77896,1.16349,0.78035,0.76254,0.80589,0.50839,1.3074,0.87985,1.29581,0.00110982,0.00110982,0.00110982
113,1535.61,1.11621,0.77452,1.15992,0.78847,0.75486,0.80633,0.51144,1.30956,0.87399,1.30195,0.00107023,0.00107023,0.00107023
114,1549.12,1.12845,0.76851,1.15079,0.77846,0.74936,0.80233,0.50557,1.30919,0.89025,1.29524,0.0010312,0.0010312,0.0010312
115,1562.87,1.11598,0.7706,1.16151,0.82568,0.73387,0.80728,0.50811,1.31225,0.87185,1.2959,0.000992742,0.000992742,0.000992742
116,1576.2,1.11364,0.75875,1.15604,0.7786,0.75717,0.81059,0.51317,1.30123,0.87723,1.29752,0.000954877,0.000954877,0.000954877
117,1589.62,1.10728,0.75593,1.15134,0.80564,0.73914,0.80344,0.50561,1.31703,0.87736,1.30146,0.000917616,0.000917616,0.000917616
118,1603.65,1.10044,0.75388,1.14892,0.80712,0.74552,0.80498,0.50535,1.32373,0.87897,1.30044,0.000880975,0.000880975,0.000880975
119,1617.43,1.10419,0.75988,1.1546,0.8112,0.7469,0.80267,0.50738,1.30041,0.86534,1.29637,0.000844968,0.000844968,0.000844968
120,1631.12,1.09489,0.74867,1.15322,0.81275,0.73656,0.80529,0.5154,1.29911,0.86557,1.28819,0.000809609,0.000809609,0.000809609
121,1644.93,1.1042,0.75176,1.15285,0.78832,0.7509,0.80357,0.50857,1.31825,0.8792,1.30971,0.000774911,0.000774911,0.000774911
122,1658.25,1.09935,0.75335,1.15404,0.80288,0.75448,0.81207,0.51118,1.31232,0.85994,1.29854,0.000740887,0.000740887,0.000740887
123,1671.78,1.10503,0.74937,1.15378,0.80477,0.74373,0.80675,0.51274,1.29674,0.86604,1.28598,0.000707552,0.000707552,0.000707552
124,1685.4,1.0931,0.74226,1.15391,0.78686,0.75717,0.80271,0.50957,1.29632,0.87021,1.2943,0.000674917,0.000674917,0.000674917
125,1698.81,1.08086,0.7412,1.14386,0.77699,0.77114,0.80803,0.51312,1.30498,0.871,1.29687,0.000642995,0.000642995,0.000642995
126,1712.33,1.08701,0.74537,1.15502,0.79688,0.75896,0.81013,0.51417,1.29467,0.86481,1.28906,0.000611799,0.000611799,0.000611799
127,1726.46,1.08578,0.75208,1.14399,0.81468,0.74552,0.80998,0.51488,1.30357,0.86158,1.29271,0.000581341,0.000581341,0.000581341
128,1739.82,1.07642,0.73948,1.13955,0.79224,0.76196,0.81293,0.5205,1.29794,0.85273,1.29026,0.000551631,0.000551631,0.000551631
129,1753.25,1.08038,0.72561,1.13477,0.78723,0.76434,0.81378,0.51811,1.3012,0.85151,1.29038,0.000522683,0.000522683,0.000522683
130,1766.81,1.08137,0.73549,1.13978,0.78468,0.77151,0.81021,0.51055,1.30924,0.86284,1.30339,0.000494506,0.000494506,0.000494506
131,1780.77,1.07303,0.73426,1.14382,0.79109,0.76344,0.81395,0.51497,1.30465,0.85171,1.29219,0.000467113,0.000467113,0.000467113
132,1794.72,1.07633,0.73287,1.13438,0.80733,0.7509,0.81507,0.51479,1.29558,0.85119,1.28711,0.000440512,0.000440512,0.000440512
133,1808.34,1.08457,0.7336,1.13844,0.78804,0.76621,0.81083,0.51812,1.28943,0.84978,1.28917,0.000414716,0.000414716,0.000414716
134,1822.08,1.07289,0.72136,1.13458,0.79981,0.75896,0.81451,0.5213,1.28891,0.84701,1.28567,0.000389732,0.000389732,0.000389732
135,1836.31,1.07687,0.73335,1.13018,0.81252,0.75269,0.81333,0.51802,1.28987,0.84398,1.27964,0.000365572,0.000365572,0.000365572
136,1849.87,1.06943,0.72269,1.13709,0.79972,0.76165,0.81194,0.51539,1.29613,0.85091,1.28642,0.000342245,0.000342245,0.000342245
137,1863.38,1.06761,0.72047,1.13255,0.81386,0.75614,0.81696,0.51948,1.29184,0.84412,1.28797,0.000319759,0.000319759,0.000319759
138,1877.19,1.07698,0.72302,1.13495,0.80987,0.7509,0.81388,0.52084,1.29309,0.85498,1.28958,0.000298123,0.000298123,0.000298123
139,1891.1,1.07188,0.72669,1.14027,0.80701,0.75358,0.81317,0.51605,1.30227,0.85286,1.29207,0.000277346,0.000277346,0.000277346
140,1904.63,1.06552,0.72286,1.1363,0.78846,0.76484,0.81619,0.51997,1.29736,0.84725,1.29142,0.000257435,0.000257435,0.000257435
